,Unnamed: 0,Vehicle_ID,Frame_ID,Total_Frames,Local_X,Local_Y,v_Vel,v_Acc
8637,8013705,75,443,2377,22.263,61.47,12.45,0.0
8757,1243497,75,444,2377,22.391,63.129,12.45,0.0
7570,4865438,75,445,2377,22.519,64.789,12.45,0.0
7869,6655304,75,446,2377,22.648000000000003,66.44800000000001,12.45,0.0
7829,1483965,75,447,2377,22.776,68.108,12.45,0.0
8239,7284299,75,448,2377,22.926,69.404,12.45,-11.26
8687,780334,75,449,2377,23.06,70.46,9.05,-11.58
8870,7879548,75,450,2377,23.16,71.229,5.9,-11.9
8921,5859651,75,451,2377,23.209,71.722,4.29,-6.51
7851,7336444,75,452,2377,23.223000000000006,72.025,4.7,11.11
8355,4805717,75,453,2377,23.225,72.616,6.6,11.2
9532,8030107,75,454,2377,23.229,73.372,8.78,11.2
9062,6132764,75,455,2377,23.235,74.316,10.3,9.47
7965,6468510,75,456,2377,23.233,75.454,10.93,1.25
9257,2522477,75,457,2377,23.228,76.57,10.99,-0.56
8209,1636945,75,458,2377,23.225,77.66199999999998,10.96,0.0
8821,8229915,75,459,2377,23.222,78.758,10.96,0.0
7668,1659446,75,460,2377,23.219,79.854,10.96,0.0
9201,6316961,75,461,2377,23.216,80.949,10.96,0.0
8367,433996,75,462,2377,23.213,82.045,10.96,0.0
8312,4455053,75,463,2377,23.21,83.141,10.96,0.0
7244,1583937,75,464,2377,23.206,84.23700000000002,10.96,0.0
8761,7784057,75,465,2377,23.203000000000007,85.333,10.96,0.0
8369,6011901,75,466,2377,23.2,86.429,10.96,0.0
8805,2937242,75,467,2377,23.197,87.524,10.96,0.0
8758,145547,75,468,2377,23.194000000000006,88.62,10.96,0.0
8639,8573463,75,469,2377,23.191,89.71600000000002,10.96,0.0
9181,6064101,75,470,2377,23.188,90.812,10.96,0.0
8555,1966524,75,471,2377,23.185,91.907,10.96,0.0
8524,6396192,75,472,2377,23.182,93.003,10.96,0.0
8218,7087303,75,473,2377,23.179,94.099,10.96,0.0
8720,1402979,75,474,2377,23.176,95.195,10.96,0.0
8049,3425766,75,475,2377,23.172,96.291,10.96,0.0
9351,2768688,75,476,2377,23.169,97.386,10.96,0.0
8947,8666296,75,477,2377,23.166,98.482,10.96,0.0
8028,258793,75,478,2377,23.163,99.578,10.96,0.0
9357,7734736,75,479,2377,23.16,100.674,10.96,0.0
7951,827864,75,480,2377,23.157,101.77,10.96,0.0
9480,4089940,75,481,2377,23.154,102.866,10.96,0.0
7735,1727237,75,482,2377,23.151,103.961,10.96,0.0
9365,8386985,75,483,2377,23.147,105.057,10.96,0.0
9495,2722927,75,484,2377,23.144,106.153,10.96,0.0
9476,8102252,75,485,2377,23.141,107.249,10.96,0.0
7305,6035668,75,486,2377,23.138,108.345,10.96,0.0
7870,8468053,75,487,2377,23.135,109.441,10.96,0.0
8059,1443561,75,488,2377,23.132,110.536,10.96,0.0
8174,7273469,75,489,2377,23.128,111.63,10.98,0.32
7863,1677459,75,490,2377,23.135,112.73,11.0,1.18
8561,6921042,75,491,2377,23.139,113.848,10.85,3.44
9207,8117855,75,492,2377,23.07,114.953,10.34,-6.05
7440,232741,75,493,2377,22.934,115.957,9.43,-10.02
7967,6020152,75,494,2377,22.728,116.811,8.2,-10.66
9509,7758664,75,495,2377,22.441,117.538,6.91,-11.66
8381,3152238,75,496,2377,22.23,118.109,5.83,-8.79
9400,3820312,75,497,2377,22.087,118.594,5.17,-5.45
8482,1241002,75,498,2377,22.013,119.07,4.97,-3.82
8217,5522569,75,499,2377,22.0,119.564,4.98,-0.85
7987,2356506,75,500,2377,21.988000000000003,120.066,4.99,0.16
8154,7620805,75,501,2377,21.966,120.565,5.0,0.0
8522,39892,75,502,2377,21.945,121.065,5.0,0.0
7372,370157,75,503,2377,21.923,121.565,5.0,0.0
7684,7301255,75,504,2377,21.902,122.063,5.01,0.24
9568,7759946,75,505,2377,21.881,122.565,5.03,0.24
8269,397569,75,506,2377,21.859,123.079,4.96,-1.28
9270,5355524,75,507,2377,21.838,123.587,4.67,-4.15
7531,1667192,75,508,2377,21.818,124.055,4.11,-7.32
9113,1372013,75,509,2377,21.801,124.441,3.33,-8.82
7387,3929566,75,510,2377,21.79,124.72,2.55,-7.27
7842,3311969,75,511,2377,21.781,124.918,2.01,-3.92
7591,3519744,75,512,2377,21.774,125.08,1.73,-1.06
8123,3109955,75,513,2377,21.767,125.247,1.58,-1.29
8591,8565170,75,514,2377,21.76,125.417,1.3,-4.17
7413,1559319,75,515,2377,21.755,125.537,0.83,-5.75
8550,8273171,75,516,2377,21.753,125.588,0.33,-4.9
9230,2261355,75,517,2377,21.754,125.573,0.0,-1.52
8955,6276473,75,518,2377,21.755,125.531,0.14,3.76
9215,925853,75,519,2377,21.755,125.53,0.79,9.06
8843,4659989,75,520,2377,21.75,125.641,1.7,10.58
7306,8434352,75,521,2377,21.739,125.898,2.39,4.81
7348,7659589,75,522,2377,21.727,126.225,2.39,-4.83
8008,261905,75,523,2377,21.716,126.481,1.7,-10.58
8621,5066291,75,524,2377,21.711,126.591,0.8,-8.79
7332,1566866,75,525,2377,21.71,126.593,0.18,-3.52
7291,7667206,75,526,2377,21.711,126.567,0.04,0.03
8559,1322994,75,527,2377,21.711,126.557,0.03,-0.51
7373,6968750,75,528,2377,21.711,126.56,0.0,0.0
8976,6072712,75,529,2377,21.711,126.56,0.0,0.0
9320,2093340,75,530,2377,21.711,126.56,0.0,0.0
9172,969993,75,531,2377,21.711,126.56,0.0,0.0
8629,7780855,75,532,2377,21.711,126.56,0.0,0.0
9492,6091952,75,533,2377,21.711,126.56,0.0,0.0
7895,4003191,75,534,2377,21.711,126.56,0.0,0.0
7264,1863570,75,535,2377,21.711,126.56,0.0,0.0
8782,6929135,75,536,2377,21.711,126.56,0.0,0.0
7657,7306040,75,537,2377,21.711,126.56,0.0,0.0
7983,7222614,75,538,2377,21.711,126.56,0.0,0.0
8490,5017066,75,539,2377,21.711,126.56,0.0,0.0
9610,8358323,75,540,2377,21.711,126.56,0.0,0.0
9220,2320476,75,541,2377,21.711,126.56,0.0,0.0
7734,7364908,75,542,2377,21.711,126.56,0.0,0.0
9499,2723006,75,543,2377,21.711,126.56,0.0,0.0
8913,8212754,75,544,2377,21.711,126.56,0.0,0.0
8721,6701039,75,545,2377,21.711,126.56,0.0,0.0
7543,7021759,75,546,2377,21.711,126.56,0.0,0.0
7817,6545746,75,547,2377,21.711,126.56,0.0,0.0
9501,806182,75,548,2377,21.711,126.56,0.0,0.0
8930,7910010,75,549,2377,21.711,126.56,0.0,0.0
8211,2334996,75,550,2377,21.711,126.56,0.0,0.0
7474,6560497,75,551,2377,21.711,126.56,0.0,0.0
8914,171704,75,552,2377,21.711,126.56,0.0,0.0
9473,455739,75,553,2377,21.711,126.56,0.0,0.0
8638,6788055,75,554,2377,21.711,126.56,0.0,0.0
9100,2671479,75,555,2377,21.711,126.56,0.0,0.0
9589,6103012,75,556,2377,21.711,126.56,0.0,0.0
8078,6971718,75,557,2377,21.711,126.56,0.0,0.0
7329,1878199,75,558,2377,21.711,126.56,0.0,0.0
9169,2921723,75,559,2377,21.711,126.56,0.0,0.0
9307,127160,75,560,2377,21.711,126.56,0.0,0.0
7628,4027660,75,561,2377,21.711,126.56,0.0,0.0
9361,219899,75,562,2377,21.711,126.56,0.0,0.0
7815,5570182,75,563,2377,21.711,126.56,0.0,0.0
8793,2662637,75,564,2377,21.711,126.56,0.0,0.0
9316,1007085,75,565,2377,21.711,126.56,0.0,0.0
7713,8588299,75,566,2377,21.711,126.56,0.0,0.0
8146,7624170,75,567,2377,21.711,126.56,0.0,0.0
9394,1908598,75,568,2377,21.711,126.56,0.0,0.0
8347,5519841,75,569,2377,21.711,126.56,0.0,0.0
9506,3719924,75,570,2377,21.711,126.56,0.0,0.0
9060,190809,75,571,2377,21.711,126.56,0.0,0.0
7885,7429428,75,572,2377,21.711,126.56,0.0,0.0
8411,2163690,75,573,2377,21.711,126.56,0.0,0.0
7638,1167115,75,574,2377,21.711,126.56,0.0,0.0
9380,6328531,75,575,2377,21.711,126.56,0.0,0.0
8763,5067206,75,576,2377,21.711,126.56,0.0,0.0
9315,1216934,75,577,2377,21.711,126.56,0.0,0.0
9129,8401128,75,578,2377,21.711,126.56,0.0,0.0
8002,3133452,75,579,2377,21.711,126.56,0.0,0.0
9349,5346337,75,580,2377,21.711,126.56,0.0,0.0
8242,8632310,75,581,2377,21.711,126.56,0.0,0.0
8412,5246975,75,582,2377,21.711,126.56,0.0,0.0
8510,7967741,75,583,2377,21.711,126.56,0.0,0.0
7594,4294603,75,584,2377,21.711,126.56,0.0,0.0
7791,4847117,75,585,2377,21.711,126.56,0.0,0.0
8579,4116305,75,586,2377,21.711,126.562,0.0,-0.35
9590,694890,75,587,2377,21.711,126.557,0.04,-0.11
8855,4400936,75,588,2377,21.705,126.534,0.13,2.74
9259,4193343,75,589,2377,21.697,126.525,0.72,8.53
7602,3520302,75,590,2377,21.707,126.622,1.76,12.07
7240,16471,75,591,2377,21.778,126.853,2.89,10.94
7812,1704531,75,592,2377,21.905,127.234,3.48,4.22
7345,1568538,75,593,2377,22.097,127.617,3.2,-9.52
7798,6532559,75,594,2377,22.294,127.854,2.28,-11.95
7784,5698360,75,595,2377,22.422,127.955,1.23,-9.74
7256,1871426,75,596,2377,22.496,127.949,0.49,-5.56
7607,1113098,75,597,2377,22.503,127.928,0.13,-2.15
7444,451035,75,598,2377,22.49,127.922,0.0,0.25
9028,161569,75,599,2377,22.484,127.924,0.0,0.25
7428,5742004,75,600,2377,22.486,127.924,0.0,0.0
9344,8110521,75,601,2377,22.486,127.924,0.0,0.0
8296,6482307,75,602,2377,22.486,127.924,0.0,0.0
9249,2741080,75,603,2377,22.486,127.924,0.0,0.0
9049,2934309,75,604,2377,22.486,127.924,0.0,0.0
9254,6694168,75,605,2377,22.486,127.924,0.0,0.0
7569,3532980,75,606,2377,22.486,127.924,0.0,0.0
8063,1136090,75,607,2377,22.486,127.924,0.0,0.0
9518,7704686,75,608,2377,22.486,127.924,0.0,0.0
7540,3226954,75,609,2377,22.486,127.924,0.0,0.0
7453,6447628,75,610,2377,22.486,127.924,0.0,0.0
9565,1329808,75,611,2377,22.486,127.924,0.0,0.0
8869,3840393,75,612,2377,22.486,127.924,0.0,0.0
8141,7624979,75,613,2377,22.486,127.924,0.0,0.0
7487,4471041,75,614,2377,22.486,127.924,0.0,0.0
7270,3616788,75,615,2377,22.486,127.924,0.0,0.0
8283,8442563,75,616,2377,22.486,127.924,0.0,0.0
9572,1341231,75,617,2377,22.486,127.924,0.0,0.0
7324,7166696,75,618,2377,22.486,127.924,0.0,0.0
7251,4925666,75,619,2377,22.486,127.924,0.0,0.0
8929,758157,75,620,2377,22.486,127.924,0.0,0.0
8484,941065,75,621,2377,22.486,127.924,0.0,0.0
7818,7048236,75,622,2377,22.486,127.924,0.0,0.0
7435,1859411,75,623,2377,22.486,127.924,0.0,0.0
9065,1975470,75,624,2377,22.486,127.924,0.0,0.0
8683,4167014,75,625,2377,22.486,127.924,0.0,0.0
8323,1042693,75,626,2377,22.486,127.924,0.0,0.0
8845,1229920,75,627,2377,22.486,127.924,0.0,0.0
7327,231603,75,628,2377,22.486,127.924,0.0,0.0
7775,1089406,75,629,2377,22.486,127.924,0.0,0.0
7913,7027972,75,630,2377,22.486,127.924,0.0,0.0
8422,6296142,75,631,2377,22.486,127.924,0.0,0.0
8427,2382772,75,632,2377,22.486,127.924,0.0,0.0
7816,1488692,75,633,2377,22.486,127.924,0.0,0.0
7724,1719724,75,634,2377,22.486,127.924,0.0,0.0
8842,8236528,75,635,2377,22.486,127.924,0.0,0.0
9222,8551812,75,636,2377,22.486,127.924,0.0,0.0
9397,8058890,75,637,2377,22.486,127.924,0.0,0.0
8404,8263438,75,638,2377,22.486,127.924,0.0,0.0
7437,7672876,75,639,2377,22.486,127.924,0.0,0.0
7293,229133,75,640,2377,22.486,127.924,0.0,0.0
8679,8021283,75,641,2377,22.486,127.924,0.0,0.0
8569,5887346,75,642,2377,22.486,127.924,0.0,0.0
8094,7638301,75,643,2377,22.486,127.924,0.0,0.0
8713,8152028,75,644,2377,22.486,127.924,0.0,0.0
8004,437113,75,645,2377,22.486,127.924,0.0,0.0
7505,6636441,75,646,2377,22.486,127.924,0.0,0.0
7917,6548854,75,647,2377,22.486,127.924,0.0,0.0
7314,7698201,75,648,2377,22.486,127.924,0.0,0.0
8399,6927,75,649,2377,22.486,127.924,0.0,0.0
8179,7274210,75,650,2377,22.486,127.924,0.0,0.0
8280,6670369,75,651,2377,22.486,127.924,0.0,0.0
8359,1194914,75,652,2377,22.486,127.924,0.0,0.0
9224,5120930,75,653,2377,22.486,127.924,0.0,0.0
8096,3092561,75,654,2377,22.486,127.924,0.0,0.0
9159,2036671,75,655,2377,22.486,127.924,0.0,0.0
8644,554104,75,656,2377,22.486,127.924,0.0,0.0
8001,7583588,75,657,2377,22.486,127.924,0.0,0.0
8740,2597324,75,658,2377,22.486,127.924,0.0,0.0
8293,7253965,75,659,2377,22.486,127.924,0.0,0.0
7322,1208919,75,660,2377,22.486,127.924,0.0,0.0
9418,536221,75,661,2377,22.486,127.924,0.0,0.0
7634,1648651,75,662,2377,22.486,127.924,0.0,0.0
8433,4329612,75,663,2377,22.486,127.924,0.0,0.0
8686,8022714,75,664,2377,22.486,127.924,0.0,0.0
7427,6970705,75,665,2377,22.486,127.924,0.0,0.0
8013,4290224,75,666,2377,22.486,127.924,0.0,0.0
8040,5507246,75,667,2377,22.486,127.924,0.0,0.0
8863,7934315,75,668,2377,22.486,127.924,0.0,0.0
7889,1730336,75,669,2377,22.486,127.924,0.0,0.0
8346,6201595,75,670,2377,22.486,127.924,0.0,0.0
7366,6161537,75,671,2377,22.486,127.924,0.0,0.0
9537,3448,75,672,2377,22.486,127.924,0.0,0.0
7836,7348648,75,673,2377,22.486,127.924,0.0,0.0
8743,755,75,674,2377,22.486,127.924,0.0,0.0
7762,3547118,75,675,2377,22.486,127.924,0.0,0.0
8809,6808408,75,676,2377,22.486,127.924,0.0,0.0
8334,1194856,75,677,2377,22.486,127.924,0.0,0.0
8884,6273080,75,678,2377,22.486,127.924,0.0,0.0
8029,3598898,75,679,2377,22.486,127.924,0.0,0.0
9402,8058690,75,680,2377,22.486,127.924,0.0,0.0
8954,7920382,75,681,2377,22.486,127.924,0.0,0.0
7868,7452070,75,682,2377,22.486,127.924,0.0,0.0
7689,3907388,75,683,2377,22.486,127.924,0.0,0.0
8508,1397112,75,684,2377,22.486,127.924,0.0,0.0
9462,3017635,75,685,2377,22.486,127.924,0.0,0.0
9497,8128381,75,686,2377,22.486,127.924,0.0,0.0
7766,3281744,75,687,2377,22.486,127.924,0.0,0.0
8568,8271272,75,688,2377,22.486,127.924,0.0,0.0
9063,76264,75,689,2377,22.486,127.924,0.0,0.0
7501,7016027,75,690,2377,22.486,127.924,0.0,0.0
7393,3450643,75,691,2377,22.486,127.924,0.0,0.0
9303,744398,75,692,2377,22.486,127.924,0.0,0.0
8840,1999523,75,693,2377,22.486,127.924,0.0,0.0
7621,4464369,75,694,2377,22.486,127.924,0.0,0.0
